District,2020 Dem,2020 Rep,RPT,Incumbent party,Safety
AZ-1,51.70%,48.30%,>99%,D,Vulnerable
CA-21,48.20%,51.80%,83%,D,Vulnerable
CA-48,49.10%,50.90%,>99%,D,Vulnerable
FL-26,48.30%,51.70%,95%,D,Vulnerable
IA-1,48.70%,51.30%,90%,D,Vulnerable
IA-2,50.00%,50.00%,89%,D,Vulnerable
IA-3,49.00%,47.60%,95%,D,Vulnerable
IL-17,51.90%,48.10%,91%,D,Vulnerable
MI-8,50.90%,47.30%,96%,D,Vulnerable
MI-11,50.20%,47.80%,96%,D,Vulnerable
MN-7,40.10%,53.30%,89%,D,Vulnerable
NJ-7,52.10%,47.90%,82%,D,Vulnerable
NM-2,46.10%,53.90%,96%,D,Vulnerable
NV-3,49.20%,45.40%,97%,D,Vulnerable
NY-11,42.10%,57.90%,85%,D,Vulnerable
NY-22,43.40%,54.40%,79%,D,Vulnerable
OK-5,47.90%,52.10%,95%,D,Vulnerable
OR-4,51.60%,46.30%,>99%,D,Vulnerable
PA-8,51.70%,48.30%,93%,D,Vulnerable
SC-1,49.40%,50.60%,>99%,D,Vulnerable
UT-4,47.70%,47.20%,96%,D,Vulnerable
VA-2,51.40%,46.00%,92%,D,Vulnerable
VA-7,51.00%,49.00%,97%,D,Vulnerable
WI-3,51.50%,48.50%,89%,D,Vulnerable
AK-AL,36.60%,63.00%,51%,R,Vulnerable
AR-2,44.40%,55.60%,95%,R,Vulnerable
AZ-6,47.90%,52.10%,98%,R,Vulnerable
CA-25,49.90%,50.10%,94%,R,Vulnerable
CA-50,46.20%,53.80%,99%,R,Vulnerable
CO-3,45.40%,51.30%,93%,R,Vulnerable
FL-15,44.60%,55.40%,94%,R,Vulnerable
GA-7,51.40%,48.60%,97%,R,Vulnerable
IL-13,45.30%,54.70%,90%,R,Vulnerable
IN-5,45.90%,50.00%,>99%,R,Vulnerable
MI-3,47.00%,53.00%,96%,R,Vulnerable
MI-6,40.20%,55.90%,95%,R,Vulnerable
MN-1,45.60%,48.60%,92%,R,Vulnerable
MO-2,45.40%,52.00%,95%,R,Vulnerable
MT-AL,44.20%,55.80%,>99%,R,Vulnerable
NC-2,63.00%,34.80%,98%,R,Vulnerable
NC-6,62.30%,37.70%,89%,R,Vulnerable
NC-8,46.70%,53.30%,90%,R,Vulnerable
NC-9,44.50%,55.50%,92%,R,Vulnerable
NC-11,42.40%,54.50%,98%,R,Vulnerable
NE-2,46.10%,50.90%,>99%,R,Vulnerable
NJ-2,46.30%,52.00%,89%,R,Vulnerable
NY-1,38.70%,61.30%,76%,R,Vulnerable
NY-2,41.30%,57.80%,78%,R,Vulnerable
NY-24,37.80%,58.50%,77%,R,Vulnerable
OH-1,44.50%,51.90%,89%,R,Vulnerable
PA-1,43.30%,56.70%,95%,R,Vulnerable
PA-10,46.60%,53.40%,94%,R,Vulnerable
TX-3,42.80%,55.20%,99%,R,Vulnerable
TX-10,45.30%,52.50%,99%,R,Vulnerable
TX-21,45.60%,52.50%,94%,R,Vulnerable
TX-22,43.00%,49.70%,>99%,R,Vulnerable
TX-23,47.10%,50.10%,>99%,R,Vulnerable
TX-24,47.50%,48.80%,94%,R,Vulnerable
TX-31,44.20%,53.50%,>99%,R,Vulnerable
VA-5,47.40%,52.60%,92%,R,Vulnerable
WA-3,43.50%,56.50%,>99%,R,Vulnerable
AL-7,100%,0%,70%,D,Safe
AZ-2,55.60%,44.30%,93%,D,Safe
AZ-3,64.60%,35.40%,>99%,D,Safe
AZ-7,76.70%,23.30%,>99%,D,Safe
AZ-9,61.60%,38.40%,>99%,D,Safe
CA-2,78.00%,22.00%,76%,D,Safe
CA-3,56.10%,43.90%,86%,D,Safe
CA-5,78.10%,21.90%,80%,D,Safe
CA-6,75.20%,24.80%,70%,D,Safe
CA-7,59.70%,40.30%,70%,D,Safe
CA-9,60.80%,39.20%,70%,D,Safe
CA-10,56.90%,43.10%,78%,D,Safe
CA-11,74.10%,25.90%,90%,D,Safe
CA-12,77.70%,-,94%,D,Safe
CA-13,90.70%,9.30%,77%,D,Safe
CA-14,80.20%,19.80%,81%,D,Safe
CA-15,72.10%,27.90%,86%,D,Safe
CA-16,59.30%,40.70%,95%,D,Safe
CA-17,72.00%,28.00%,89%,D,Safe
CA-18,63.90%,-,78%,D,Safe
CA-19,72.30%,27.70%,88%,D,Safe
CA-20,77.80%,22.20%,91%,D,Safe
CA-24,60.70%,39.30%,81%,D,Safe
CA-26,61.40%,38.60%,87%,D,Safe
CA-27,70.40%,29.60%,92%,D,Safe
CA-28,73.30%,26.70%,90%,D,Safe
CA-29,57.40%,-,85%,D,Safe
CA-30,69.90%,30.10%,89%,D,Safe
CA-31,62.10%,37.90%,76%,D,Safe
CA-32,66.10%,33.90%,88%,D,Safe
CA-33,68.10%,31.90%,85%,D,Safe
CA-34,52.90%,-,89%,D,Safe
CA-35,69.90%,30.10%,78%,D,Safe
CA-36,61.60%,38.40%,65%,D,Safe
CA-37,86.40%,13.60%,82%,D,Safe
CA-38,74.30%,-,81%,D,Safe
CA-39,49.50%,50.50%,>99%,D,Safe
CA-40,73.10%,26.90%,79%,D,Safe
CA-41,64.40%,35.60%,61%,D,Safe
CA-43,72.10%,27.90%,89%,D,Safe
CA-44,68.70%,-,80%,D,Safe
